url,question,answer,label
https://www.lightinthebox.com/knowledge-base/?page_key=return-cancellation-customized-pc&prm=1.34.145.0,Return/Cancellation Policy for Customized Products,"Return/Cancellation Policy for Customized Products

Statement of Delivery Time

All dresses (including Standard size ones) are handmade by tailors once the payment is confirmed. Normally, tailors take 7-19 business days to make it from scratch and delivery it to our warehouse. Then we'll ship it out to you, the shipping time differs by shipping method.

You can check the “Tailoring time” and “Shipping Time” on the product page.

For example:
Tailoring and processing time: 7-19 business days.

If you choose Expedited Express to ship, shipping time is about 4-7 business days (6~9 calendar days).

Statement of Size

Please measure your body and choose the size according to your exact measurements. (Our size may be different from your local size).

Video Measuring Guide: Click here! 

Cancellation Policy

Free cancellation within 24 hours of payment confirmation!

50% product refund for cancellation after 24 hours!

Your order cannot be canceled after it has been sent!

Return Policy

Your satisfaction is very important to us. It is recommended that you check the product status first after the package arrives to ensure that it meets your order requirements. Please try on your clothes as soon as possible without changing, washing, or removing labels.

1. Specific policies

If your item is defective, damaged, or improperly transported, you are eligible for a full refund. Please contact our customer service within 30 days of the order being received. We require justifications for every claim, such as photo-taking, video proof, etc.

Since all products (including standard sizes) are made to order, we could not accept the return of these items for customer’s personal reasons. If you have any questions or wish to return any or part of the products in the order, please contact our customer service within 7 days of the order being received and attach a picture to explain the reason for your return.

*Customer's Reason: no longer needed, bought by mistake, not as expected, changed mind, etc

After you submit your ticket, our Customer Service will approve your return request according to our policy, warranty, product status, and the proof you provided. We will not be able to process returns without our prior knowledge.

2. Return requirements

   2.1 Dimensional deviation

Since all our dresses are hand-sewn and customized, the finished dress may have a size deviation in any direction of the specified size. If the size of your dress is in line with your order specifications, the deviation of the bust and waist circumference is within 3CM, The hip deviation is within 5CM, which belongs to the normal size range of customized dresses. In the case of exceeding this standard, please contact our customer service for guidance with supportive proof(photos or videos).

Measurement guide PDF: http://litb.cc/l/wLKN

Measurement guide Video: http://litb.cc/l/taFe

Video1- Front Bust: http://litb.cc/l/wLKB

Video2 - Back Bust: http://litb.cc/l/wLKV

   2.2 Color mismatch

Due to the difference in the screen resolution of computers or other devices, chromatic aberration is normal. A slight chromatic aberration may not mean that the dress is defective or the wrong item is sent. However, if you are sure that the color of the product you received is wrong, please contact customer service.

   2.3 Buy a lot of pieces but keep only one

Since all products (including standard sizes) are made to order, we cannot accept returns of ""buy many but keep only one"". Our customer service team may refuse refund requests for this purpose.

If you return more than 2 items (including the same product or style, ordering multiple sizes or colors at once), you will need to pay 50% of the purchase fee.

3. Exchange policy

We currently do not provide any product exchange services. Because all items are made to order, we do not have ready-made dresses or products that can be used to exchange your returned items.

4. Attention

If the return is unacceptable, we have the right not to process the refund.",Return & Refund
https://www.lightinthebox.com/knowledge-base/?page_key=use-rewards-coupon-PC&prm=1.34.145.0,How can i use my Rewards & Credit Balance/Coupon?,"Your Rewards & Credit balance/Coupon will be automatically applied towards your next eligible purchase on LightInTheBox.com.
Coupons/Rewards can be used in the next step:
Kindly note normally Rewards Balance & Coupon have an expiration date and minimum order amount restrictions. It depends on special circumstances when Rewards/Coupons were earned. You can check the details on the ""My Rewards & Credit"" and ""My Coupons"" page.

No restrictions on the application of Credit Balance.",My Reward & Credit
https://www.lightinthebox.com/knowledge-base/?page_key=how-to-order&prm=1.34.146.0,How to order,"It is easy to purchase a product you like on Lightinthebox. Please follow the steps below to make a purchase. Enjoy your shopping!

Step 1:
Log into your Lightinthebox account:
Sign in/ Register with your email or third-party platform.

Step 2:
Browse the products and add product(s) you like to your shopping cart:
1. Choose items that you like and select a color, size, and the quantity you would like to purchase.

Tip: If you're not so sure about sizing, you can always refer to our Size guide.
2. Review the item and your selected color, size, and quantity then click ADD TO CART.

Step 3:
Review your cart:
1. After adding all the desired items to your cart, click on the cart icon or a similar symbol to review your order. Check the quantities, sizes, colors, and prices of the products. You can also remove any items or update quantities in the cart.
2. When you're ready to checkout, click CHECKOUT.

Step 4:
Fill in your shipping information and save:
1. Provide your shipping address, contact details, and any additional information required for the delivery of your order.

Step 5:
Submit your order:
1. Choose a shipping method.
2. Review your order summary. If you have a coupon available, make sure to apply it.
3. When you're all ready to place the order, click CONTINUE.
4. Select payment method and PURCHASE. Choose your preferred payment method from the available options then submit your order.

Following these steps should help you successfully place an order on Lightinthebox, we hope you enjoy shopping at Lightinthebox!
",MY Orders
https://www.lightinthebox.com/knowledge-base/?page_key=Covid-19-PC&prm=1.34.145.0,Covid-19 international incident bulletin,"What's Coronavirus?



Coronaviruses are a large family of viruses that cause illness ranging from the common cold to more severe diseases. A novel coronavirus is a new strain that has not been previously identified in humans. The virus, which outbreaks globally at the end of 2019 till now, according to the World Health Organisation, is temporarily named the ""2019 Novel Coronavirus (2019-nCoV)"".The most common symptoms include fever, breathing difficulties such as breathlessness, cough, sore throat, and fatigue or tiredness.

  

Tips: The worldwide spread of Coronavirus affects all international transportations and custom clearance. Lots of flights have been canceled or cut down. Your shipped order might be delayed for a while but our carriers will do the best to deliver packages sooner. Please pay attention to the package tracking updates. Please also protect yourself and your family members by taking all the necessary preventive measures. Keep safe and healthy.",Shipping & Delivery
https://www.lightinthebox.com/knowledge-base/?page_key=standard-sized-dress-PC&prm=1.34.145.0,"I ordered a standard sized dress,not a custom size,why it taking so long？","Our wedding/special occasion dresses aren’t just pulled from a warehouse - once your order is confirmed, our tailors begin selecting materials in the color you requested and cutting fabric based on your measurements. Even standard size dresses are Made-To-Measure, which means they are produced one by one for each customer.

Standard sizing and custom sizing are two options available for customers ordering bridal, bridesmaid, mother of the bride, and junior dresses etc. Standard sizing will still likely to take the same amount of time to tailor as our custom size dresses.

There is the “Made-To-Measure” icon on the wedding/special occasion dress pages. After choosing the size & color you prefer, the Tailoring & Handling time will be shown, which is the time it takes to tailor, prepare and ship out from our warehouses the standard/custom size dress.

The Total Delivery Time consists of processing time and shipping time, hence TWO parts. The processing time is the tailoring & handling time; and the shipping time is the time for your dress(es) to travel from our warehouse to your destination, which depends on the shipping method you choose on the check-out page.

Please do take the tailoring time into consideration when counting the estimated delivery date.

If you need some wedding/special occasion dress in a rush, you may have a look at our ready-to-wear dresses.

Ready-To-Wear Dresses
We have few stocks in our warehouse which could be shipped in 24 hours. You may move the mouse pointer to the question mark, a new window will pop up to show the available ready-to-wear options.",MY Orders
https://www.lightinthebox.com/knowledge-base/?page_key=withdrawal-PC&prm=1.34.145.0,How can i request a withdrawal?,"If you want to check your credit balance, you may visit here: My Rewards & Credit

Rewards cannot be withdrawn.

Credit can only be withdrawn to the card or account with which you originally used to pay. To withdraw Credit, click the withdraw button in Available Balance on the My Rewards & Credit page.
A record of the withdrawal will be listed on your credit card bill after your withdrawal request is successfully processed. If more than one card was used to pay, you will receive the total withdrawal amount split across each of the cards. Please refer all inquiries regarding the arrival of your refund to your card-issuing institution, as the time required to complete the refund may be affected by your institution's policies and practices.

*Do note that due to payment platform limitations, refunds for some payment methods may not be back to the original payment source if the transaction was completed a long time ago (eg. more than 1 year). In order to finalize the transaction, our customer service will get in touch with you to ask about your PayPal account. Please pay attention to any email/ticket customer service sent to you. Thank you for your understanding and cooperation.

Refund time estimates:

Original Payment Method	Refund time
	via Credit/Debit Card	Up to 30 business days
via PayPal Balance	Instantly
	4-7 business days
	7-14 business days
	4-7 business days
	7-14 business days
	7-14 business days
	7-14 business days
	7-14 business days
	7-14 business days
	7-14 business days",My Reward & Credit
https://www.lightinthebox.com/knowledge-base/?page_key=Facebook-account-PC&prm=1.34.145.0,Can i register the account or login with Facebook/Googles a account?,"We implement our own login system where customers sign up by using their email and password and an account is created for them. Typically, customers use an email verification step in this case to authenticate identity. 
Alternatively, you can choose to use Facebook Login or Google Account Login completely for their login system. In this case you sign up by using Facebook Login, an account is created for you, and the authentication step is taken care of by Facebook or Google",My Account
https://www.lightinthebox.com/knowledge-base/?page_key=change-address-PC&prm=1.34.145.0,How to change my account/email address？,"If your account/email address hasn’t been confirmed yet, please follow the steps below to firstly confirm it.

1. Sign into “My Account” and click “My Orders”

2. Click “Account Settings”, choose “Change Your E-mail Address” and click “Resend Email”
A confirmation email will be sent to your original email address.

3.Check your original address inbox and click the “Confirm your email address” link in the confirmation email, then your account/email address will be confirmed.
If your account/email address has already been confirmed, please follow the next steps to update it directly:

4.Click on “Account Settings”, select “Change Your E-mail Address” and Click “Change Mail”
To protect your account security, we need to verify your identity. We will send a link to your email. Please check your original address inbox for an activation link.

5.Click “Update my e-mail address” in the confirmation email. This will lead you to our “Change Your E-mail Address” page

6.Enter your New E-mail Address and Save

If your original email address was written incorrectly and you don't have access to it, please don't worry. With this misspelled email address and your password, you can still login in your account on our website to check order details. And if you need further help, always feel free to contact our Customer Service for support. ",My Account
https://www.lightinthebox.com/knowledge-base/?page_key=how-long-PC&prm=1.34.145.0,How long do i have to use my Reward & Credit Balance?,"Rewards have an expiration date. The expiration date for Rewards earned through order payments, excluding the purchase of Prepaid Credit and Rewards, is dependent on the date on which the Rewards amount is posted to your Rewards & Credit account. If the Rewards were earned by Order payment, please note that the expiration date is 60 days after the Rewards amount is posted into your Rewards & Credit Account. However, it may be longer or shorter depending on special circumstances when Rewards were earned. You can check the expiration date on the My Rewards & Credit page.
If you don’t make a Purchase or use your Rewards & Credit balance before its Expiration Date, any expired Rewards will be automatically deducted from your Rewards & Credit Balance.

Credit will never expire.",My Reward & Credit
https://www.lightinthebox.com/knowledge-base/?page_key=3-D-PC&prm=1.34.145.0,What is 3-D Secure?,"If you see a charge from Lightinthebox on your bank or credit card statement and you are not sure where the charge came from, we suggest that you sign in to your account on our website, check “My Orders” to search for an order that matches the charge. You can open each Order Details page by clicking on either the Order Number or on View Details.

  

If you can't find a transaction that matches the charge on your account, you might want to consider some other scenarios:



Do you have other account on our website where the order was placed but forgotten?



Do you have a child or spouse who is authorized to use your PayPal or bank account? Have you asked them about this charge?

  

If you find a suspicious charge, an error, or some other unauthorized transaction when viewing your account, click Here to report it to us, we may be able to help. ",Payment
